Temp,k_original,,Temp_optimized,k_optimized,,Michael_high_temp_T,Michael_k,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp,,,Balch_T,Balch_k,,,,Temp_B,k_B,,,Temp_B_low,k_B_low
303,2.13611E+12,,303,3.97965E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,3.315228584,301.6383259,1.80534E+12
304,2.14226E+12,,304,3.98614E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,2.14845E+12,,305,3.99269E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2.15465E+12,,306,3.99928E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2.16087E+12,,307,4.00593E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2.16712E+12,,308,4.01262E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2.17339E+12,,309,4.01937E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2.17968E+12,,310,4.02616E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2.18599E+12,,311,4.03301E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2.19233E+12,,312,4.0399E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2.19868E+12,,313,4.04684E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2.20506E+12,,314,4.05383E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2.21145E+12,,315,4.06086E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2.21787E+12,,316,4.06794E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2.22431E+12,,317,4.07507E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2.23077E+12,,318,4.08224E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2.23725E+12,,319,4.08946E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2.24376E+12,,320,4.09673E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2.25028E+12,,321,4.10404E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2.25682E+12,,322,4.11139E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2.26339E+12,,323,4.11879E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,2.26997E+12,,324,4.12623E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2.27657E+12,,325,4.13372E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2.2832E+12,,326,4.14125E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2.28984E+12,,327,4.14882E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2.29651E+12,,328,4.15644E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2.30319E+12,,329,4.16409E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2.3099E+12,,330,4.17179E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2.31662E+12,,331,4.17953E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2.32337E+12,,332,4.18732E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2.33013E+12,,333,4.19514E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2.33692E+12,,334,4.20301E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2.34372E+12,,335,4.21091E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2.35055E+12,,336,4.21886E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2.35739E+12,,337,4.22684E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2.36425E+12,,338,4.23487E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2.37114E+12,,339,4.24294E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2.37804E+12,,340,4.25104E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2.38496E+12,,341,4.25918E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,2.3919E+12,,342,4.26737E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,2.39886E+12,,343,4.27559E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2.40584E+12,,344,4.28385E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2.41284E+12,,345,4.29214E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,2.41985E+12,,346,4.30048E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,2.42689E+12,,347,4.30885E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,2.43395E+12,,348,4.31726E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,2.44102E+12,,349,4.32571E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2.44811E+12,,350,4.33419E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,2.45522E+12,,351,4.34272E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,2.46235E+12,,352,4.35127E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,2.4695E+12,,353,4.35987E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,2.47667E+12,,354,4.3685E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,2.48385E+12,,355,4.37716E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,2.49106E+12,,356,4.38586E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,2.49828E+12,,357,4.3946E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,2.50552E+12,,358,4.40337E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,2.51278E+12,,359,4.41218E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,2.52006E+12,,360,4.42102E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,2.52736E+12,,361,4.4299E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,2.53467E+12,,362,4.43881E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,2.542E+12,,363,4.44775E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,2.54936E+12,,364,4.45673E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,2.55672E+12,,365,4.46575E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,2.56411E+12,,366,4.47479E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,2.57152E+12,,367,4.48387E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,2.57894E+12,,368,4.49299E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,2.58638E+12,,369,4.50214E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,2.59384E+12,,370,4.51132E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,2.60132E+12,,371,4.52053E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,2.60881E+12,,372,4.52978E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,2.61632E+12,,373,4.53906E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,2.62385E+12,,374,4.54837E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,2.6314E+12,,375,4.55771E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,2.63897E+12,,376,4.56709E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,2.64655E+12,,377,4.57649E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,2.65415E+12,,378,4.58593E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,2.66177E+12,,379,4.5954E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,2.66941E+12,,380,4.60491E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,2.67706E+12,,381,4.61444E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
