Time,CO_ppm,Relative_Uncertainty,W
0.0002224,264,0.05,0.028583098
0.0002228,266,0.05,0.028583098
0.0002232,272,0.05,0.028583098
0.0002236,270,0.05,0.028583098
0.000224,272,0.05,0.028583098
0.0002244,279,0.05,0.028583098
0.0002248,272,0.05,0.028583098
0.0002252,278,0.05,0.028583098
0.0002256,279,0.05,0.028583098
0.000226,279,0.05,0.028583098
0.0002264,281,0.05,0.028583098
0.0002268,279,0.05,0.028583098
0.0002272,276,0.05,0.028583098
0.0002276,281,0.05,0.028583098
0.000228,279,0.05,0.028583098
0.0002284,281,0.05,0.028583098
0.0002288,276,0.05,0.028583098
0.0002292,278,0.05,0.028583098
0.0002296,283,0.05,0.028583098
0.00023,285,0.05,0.028583098
0.0002304,279,0.05,0.028583098
0.0002308,279,0.05,0.028583098
0.0002312,281,0.05,0.028583098
0.0002316,285,0.05,0.028583098
0.000232,285,0.05,0.028583098
0.0002324,279,0.05,0.028583098
0.0002328,285,0.05,0.028583098
0.0002332,283,0.05,0.028583098
0.0002336,283,0.05,0.028583098
0.000234,291,0.05,0.028583098
0.0002344,289,0.05,0.028583098
0.0002348,289,0.05,0.028583098
0.0002352,281,0.05,0.028583098
0.0002356,289,0.05,0.028583098
0.000236,293,0.05,0.028583098
0.0002364,289,0.05,0.028583098
0.0002368,283,0.05,0.028583098
0.0002372,293,0.05,0.028583098
0.0002376,295,0.05,0.028583098
0.000238,293,0.05,0.028583098
0.0002384,287,0.05,0.028583098
0.0002388,287,0.05,0.028583098
0.0002392,295,0.05,0.028583098
0.0002396,291,0.05,0.028583098
0.00024,298,0.05,0.028583098
0.0002404,289,0.05,0.028583098
0.0002408,291,0.05,0.028583098
0.0002412,302,0.05,0.028583098
0.0002416,300,0.05,0.028583098
0.000242,293,0.05,0.028583098
0.0002424,298,0.05,0.028583098
0.0002428,304,0.05,0.028583098
0.0002432,298,0.05,0.028583098
0.0002436,300,0.05,0.028583098
0.000244,310,0.05,0.028583098
0.0002444,304,0.05,0.028583098
0.0002448,312,0.05,0.028583098
0.0002452,298,0.05,0.028583098
0.0002456,310,0.05,0.028583098
0.000246,310,0.05,0.028583098
0.0002464,310,0.05,0.028583098
0.0002468,314,0.05,0.028583098
0.0002472,316,0.05,0.028583098
0.0002476,310,0.05,0.028583098
0.000248,314,0.05,0.028583098
0.0002484,310,0.05,0.028583098
0.0002488,316,0.05,0.028583098
