Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
C3H3 + CH4 => C3H4-A + CH3,6.93E-01,1.00E-09,1.00E-09
C3H4-A + C3H5-A => C3H3 + C3H6,6.93E-01,1.00E-09,1.00E-09
C3H3 + C3H6 => C3H4-A + C3H5-A,6.93E-01,1.00E-09,1.00E-09
C2H + C3H4-A => C2H2 + C3H3,6.93E-01,1.00E-09,1.00E-09
C2H2 + C3H3 => C2H + C3H4-A,6.93E-01,1.00E-09,1.00E-09
C3H4-P + M => C3H3 + H + M,6.93E-01,1.00E-09,1.00E-09
C3H3 + H + M => C3H4-P + M,6.93E-01,1.00E-09,1.00E-09
C3H4-P => C2H + CH3,6.93E-01,1.00E-09,1.00E-09
C2H + CH3 => C3H4-P,6.93E-01,1.00E-09,1.00E-09
C3H4-P + O2 => CH2 + HCCO + OH,6.93E-01,1.00E-09,1.00E-09
CH2 + HCCO + OH => C3H4-P + O2,6.93E-01,1.00E-09,1.00E-09
C3H4-P + O2 => C3H3 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H3 + HO2 => C3H4-P + O2,6.93E-01,1.00E-09,1.00E-09
C3H4-P + HO2 => C2H4 + CO + OH,6.93E-01,1.00E-09,1.00E-09
C2H4 + CO + OH => C3H4-P + HO2,6.93E-01,1.00E-09,1.00E-09
C3H4-P + OH => C3H3 + H2O,6.93E-01,1.00E-09,1.00E-09
C3H3 + H2O => C3H4-P + OH,6.93E-01,1.00E-09,1.00E-09
C3H4-P + OH => CH2CO + CH3,6.93E-01,1.00E-09,1.00E-09
CH2CO + CH3 => C3H4-P + OH,6.93E-01,1.00E-09,1.00E-09
C3H4-P + O => C2H3 + HCO,6.93E-01,1.00E-09,1.00E-09
C2H3 + HCO => C3H4-P + O,6.93E-01,1.00E-09,1.00E-09
C3H4-P + O => CH3 + HCCO,6.93E-01,1.00E-09,1.00E-09
CH3 + HCCO => C3H4-P + O,6.93E-01,1.00E-09,1.00E-09
C3H4-P + O => CH2 + H + HCCO,6.93E-01,1.00E-09,1.00E-09
CH2 + H + HCCO => C3H4-P + O,6.93E-01,1.00E-09,1.00E-09
C3H4-P + O => C3H3 + OH,6.93E-01,1.00E-09,1.00E-09
C3H3 + OH => C3H4-P + O,6.93E-01,1.00E-09,1.00E-09
C3H4-P + H => C3H3 + H2,6.93E-01,1.00E-09,1.00E-09
C3H3 + H2 => C3H4-P + H,6.93E-01,1.00E-09,1.00E-09
C3H4-P + CH3 => C3H3 + CH4,6.93E-01,1.00E-09,1.00E-09
C3H3 + CH4 => C3H4-P + CH3,6.93E-01,1.00E-09,1.00E-09
C2H + C3H4-P => C2H2 + C3H3,6.93E-01,1.00E-09,1.00E-09
C2H2 + C3H3 => C2H + C3H4-P,6.93E-01,1.00E-09,1.00E-09
C2H3 + C3H4-P => C2H4 + C3H3,6.93E-01,1.00E-09,1.00E-09
C2H4 + C3H3 => C2H3 + C3H4-P,6.93E-01,1.00E-09,1.00E-09
C3H4-P + C3H5-A => C3H3 + C3H6,6.93E-01,1.00E-09,1.00E-09
C3H3 + C3H6 => C3H4-P + C3H5-A,6.93E-01,1.00E-09,1.00E-09
C3H3 + O => C2H + CH2O,6.93E-01,1.00E-09,1.00E-09
C2H + CH2O => C3H3 + O,6.93E-01,1.00E-09,1.00E-09
C3H3 + OH => C3H2 + H2O,6.93E-01,1.00E-09,1.00E-09
C3H2 + H2O => C3H3 + OH,6.93E-01,1.00E-09,1.00E-09
C3H3 + O2 => CH2CO + HCO,6.93E-01,1.00E-09,1.00E-09
CH2CO + HCO => C3H3 + O2,6.93E-01,1.00E-09,1.00E-09
C3H3 + CH3 => C2H + C2H5,6.93E-01,1.00E-09,1.00E-09
C2H + C2H5 => C3H3 + CH3,6.93E-01,1.00E-09,1.00E-09
C3H2 + O2 => HCCO + HCO,6.93E-01,1.00E-09,1.00E-09
HCCO + HCO => C3H2 + O2,6.93E-01,1.00E-09,1.00E-09
C3H4-A + HO2 => C2H4 + CO + OH,6.93E-01,1.00E-09,1.00E-09
C2H4 + CO + OH => C3H4-A + HO2,6.93E-01,1.00E-09,1.00E-09
C3H4-A + HO2 => C3H3 + H2O2,6.93E-01,1.00E-09,1.00E-09
C3H3 + H2O2 => C3H4-A + HO2,6.93E-01,1.00E-09,1.00E-09
C2H2 + CH3 => C3H4-P + H,6.93E-01,1.00E-09,1.00E-09
C3H4-P + H => C2H2 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H2 + CH3 => C3H4-A + H,6.93E-01,1.00E-09,1.00E-09
C3H4-A + H => C2H2 + CH3,6.93E-01,1.00E-09,1.00E-09
C3H3 + H => C3H2 + H2,6.93E-01,1.00E-09,1.00E-09
C3H2 + H2 => C3H3 + H,6.93E-01,1.00E-09,1.00E-09
C3H2 + OH => C2H2 + HCO,6.93E-01,1.00E-09,1.00E-09
C2H2 + HCO => C3H2 + OH,6.93E-01,1.00E-09,1.00E-09
C3H2 + O2 => CO + H + HCCO,6.93E-01,1.00E-09,1.00E-09
CH3CHCO + OH => C2H5 + CO2,6.93E-01,1.00E-09,1.00E-09
CH3CHCO + OH => CO + SC2H4OH,6.93E-01,1.00E-09,1.00E-09
CH3CHCO + H => C2H5 + CO,6.93E-01,1.00E-09,1.00E-09
CH3CHCO + O => CH3CHO + CO,6.93E-01,1.00E-09,1.00E-09
HO2 + NC3H7 => NC3H7O + OH,6.93E-01,1.00E-09,1.00E-09
NC3H7O + OH => HO2 + NC3H7,6.93E-01,1.00E-09,1.00E-09
HO2 + IC3H7 => IC3H7O + OH,6.93E-01,1.00E-09,1.00E-09
IC3H7O + OH => HO2 + IC3H7,6.93E-01,1.00E-09,1.00E-09
CH3O2 + NC3H7 => CH3O + NC3H7O,6.93E-01,1.00E-09,1.00E-09
CH3O + NC3H7O => CH3O2 + NC3H7,6.93E-01,1.00E-09,1.00E-09
CH3O2 + IC3H7 => CH3O + IC3H7O,6.93E-01,1.00E-09,1.00E-09
CH3O + IC3H7O => CH3O2 + IC3H7,6.93E-01,1.00E-09,1.00E-09
NC3H7O2 => NC3H7 + O2,6.93E-01,1.00E-09,1.00E-09
NC3H7 + O2 => NC3H7O2,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 => IC3H7 + O2,6.93E-01,1.00E-09,1.00E-09
IC3H7 + O2 => IC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH2O + NC3H7O2 => HCO + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
HCO + NC3H7O2H => CH2O + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH3CHO + NC3H7O2 => CH3CO + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
CH3CO + NC3H7O2H => CH3CHO + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH2O + IC3H7O2 => HCO + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
HCO + IC3H7O2H => CH2O + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH3CHO + IC3H7O2 => CH3CO + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
CH3CO + IC3H7O2H => CH3CHO + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
HO2 + NC3H7O2 => NC3H7O2H + O2,6.93E-01,1.00E-09,1.00E-09
NC3H7O2H + O2 => HO2 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
HO2 + IC3H7O2 => IC3H7O2H + O2,6.93E-01,1.00E-09,1.00E-09
IC3H7O2H + O2 => HO2 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C2H4 + NC3H7O2 => C2H3 + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C2H3 + NC3H7O2H => C2H4 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C2H4 + IC3H7O2 => C2H3 + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C2H3 + IC3H7O2H => C2H4 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH3OH + NC3H7O2 => CH2OH + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
CH2OH + NC3H7O2H => CH3OH + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH3OH + IC3H7O2 => CH2OH + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
CH2OH + IC3H7O2H => CH3OH + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + NC3H7O2 => C2H3CO + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C2H3CO + NC3H7O2H => C2H3CHO + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + IC3H7O2 => C2H3CO + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C2H3CO + IC3H7O2H => C2H3CHO + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH4 + NC3H7O2 => CH3 + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
CH3 + NC3H7O2H => CH4 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH4 + IC3H7O2 => CH3 + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
CH3 + IC3H7O2H => CH4 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH3O2 + NC3H7O2 => CH3O + NC3H7O + O2,6.93E-01,1.00E-09,1.00E-09
CH3O2 + IC3H7O2 => CH3O + IC3H7O + O2,6.93E-01,1.00E-09,1.00E-09
H2 + NC3H7O2 => H + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
H + NC3H7O2H => H2 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
H2 + IC3H7O2 => H + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
H + IC3H7O2H => H2 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C2H6 + IC3H7O2 => C2H5 + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C2H5 + IC3H7O2H => C2H6 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C2H6 + NC3H7O2 => C2H5 + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C2H5 + NC3H7O2H => C2H6 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + IC3H7O2 => C2H5CO + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C2H5CO + IC3H7O2H => C2H5CHO + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + NC3H7O2 => C2H5CO + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C2H5CO + NC3H7O2H => C2H5CHO + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH3CO3 + IC3H7O2 => CH3CO2 + IC3H7O + O2,6.93E-01,1.00E-09,1.00E-09
CH3CO3 + NC3H7O2 => CH3CO2 + NC3H7O + O2,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + IC3H7O2 => C2H5O + IC3H7O + O2,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + NC3H7O2 => C2H5O + NC3H7O + O2,6.93E-01,1.00E-09,1.00E-09
2 IC3H7O2 => 2 IC3H7O + O2,6.93E-01,1.00E-09,1.00E-09
2 NC3H7O2 => 2 NC3H7O + O2,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 + NC3H7O2 => IC3H7O + NC3H7O + O2,6.93E-01,1.00E-09,1.00E-09
CH3 + IC3H7O2 => CH3O + IC3H7O,6.93E-01,1.00E-09,1.00E-09
CH3O + IC3H7O => CH3 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C2H5 + IC3H7O2 => C2H5O + IC3H7O,6.93E-01,1.00E-09,1.00E-09
C2H5O + IC3H7O => C2H5 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
IC3H7 + IC3H7O2 => 2 IC3H7O,6.93E-01,1.00E-09,1.00E-09
2 IC3H7O => IC3H7 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 + NC3H7 => IC3H7O + NC3H7O,6.93E-01,1.00E-09,1.00E-09
IC3H7O + NC3H7O => IC3H7O2 + NC3H7,6.93E-01,1.00E-09,1.00E-09
C3H5-A + IC3H7O2 => C3H5O + IC3H7O,6.93E-01,1.00E-09,1.00E-09
C3H5O + IC3H7O => C3H5-A + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
CH3 + NC3H7O2 => CH3O + NC3H7O,6.93E-01,1.00E-09,1.00E-09
CH3O + NC3H7O => CH3 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C2H5 + NC3H7O2 => C2H5O + NC3H7O,6.93E-01,1.00E-09,1.00E-09
C2H5O + NC3H7O => C2H5 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
IC3H7 + NC3H7O2 => IC3H7O + NC3H7O,6.93E-01,1.00E-09,1.00E-09
IC3H7O + NC3H7O => IC3H7 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
NC3H7 + NC3H7O2 => 2 NC3H7O,6.93E-01,1.00E-09,1.00E-09
2 NC3H7O => NC3H7 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + NC3H7O2 => C3H5O + NC3H7O,6.93E-01,1.00E-09,1.00E-09
C3H5O + NC3H7O => C3H5-A + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
NC3H7O2H => NC3H7O + OH,6.93E-01,1.00E-09,1.00E-09
NC3H7O + OH => NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
IC3H7O2H => IC3H7O + OH,6.93E-01,1.00E-09,1.00E-09
IC3H7O + OH => IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
NC3H7O => C2H5 + CH2O,6.93E-01,1.00E-09,1.00E-09
C2H5 + CH2O => NC3H7O,6.93E-01,1.00E-09,1.00E-09
NC3H7O => C2H5CHO + H,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + H => NC3H7O,6.93E-01,1.00E-09,1.00E-09
IC3H7O => CH3 + CH3CHO,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3CHO => IC3H7O,6.93E-01,1.00E-09,1.00E-09
IC3H7O => CH3COCH3 + H,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + H => IC3H7O,6.93E-01,1.00E-09,1.00E-09
IC3H7O + O2 => CH3COCH3 + HO2,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + HO2 => IC3H7O + O2,6.93E-01,1.00E-09,1.00E-09
NC3H7O2 => C3H6OOH1-2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-2 => NC3H7O2,6.93E-01,1.00E-09,1.00E-09
NC3H7O2 => C3H6OOH1-3,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-3 => NC3H7O2,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 => C3H6OOH2-1,6.93E-01,1.00E-09,1.00E-09
C3H6OOH2-1 => IC3H7O2,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 => C3H6OOH2-2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH2-2 => IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-2 => C3H6O1-2 + OH,6.93E-01,1.00E-09,1.00E-09
C3H6O1-2 + OH => C3H6OOH1-2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-3 => C3H6O1-3 + OH,6.93E-01,1.00E-09,1.00E-09
C3H6O1-3 + OH => C3H6OOH1-3,6.93E-01,1.00E-09,1.00E-09
C3H6OOH2-1 => C3H6O1-2 + OH,6.93E-01,1.00E-09,1.00E-09
C3H6O1-2 + OH => C3H6OOH2-1,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-2 => C3H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H6 + HO2 => C3H6OOH1-2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH2-1 => C3H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H6 + HO2 => C3H6OOH2-1,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-3 => C2H4 + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C3H6OOH2-1 => C2H3OOH + CH3,6.93E-01,1.00E-09,1.00E-09
C2H3OOH + CH3 => C3H6OOH2-1,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-2 => C2H4 + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C3H6OOH2-2 => CH3COCH3 + OH,6.93E-01,1.00E-09,1.00E-09
CH3COCH3 + OH => C3H6OOH2-2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-2O2 => C3H6OOH1-2 + O2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-2 + O2 => C3H6OOH1-2O2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-3O2 => C3H6OOH1-3 + O2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-3 + O2 => C3H6OOH1-3O2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH2-1O2 => C3H6OOH2-1 + O2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH2-1 + O2 => C3H6OOH2-1O2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-2O2 => C3KET12 + OH,6.93E-01,1.00E-09,1.00E-09
C3KET12 + OH => C3H6OOH1-2O2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH1-3O2 => C3KET13 + OH,6.93E-01,1.00E-09,1.00E-09
C3KET13 + OH => C3H6OOH1-3O2,6.93E-01,1.00E-09,1.00E-09
C3H6OOH2-1O2 => C3KET21 + OH,6.93E-01,1.00E-09,1.00E-09
C3KET21 + OH => C3H6OOH2-1O2,6.93E-01,1.00E-09,1.00E-09
C3KET12 => CH3CHO + HCO + OH,6.93E-01,1.00E-09,1.00E-09
C3KET13 => CH2CHO + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C3KET21 => CH2O + CH3CO + OH,6.93E-01,1.00E-09,1.00E-09
AC3H5OOH => C3H5O + OH,6.93E-01,1.00E-09,1.00E-09
C3H5O + OH => AC3H5OOH,6.93E-01,1.00E-09,1.00E-09
C3H5O => C2H3CHO + H,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + H => C3H5O,6.93E-01,1.00E-09,1.00E-09
C3H5O => C2H3 + CH2O,6.93E-01,1.00E-09,1.00E-09
C2H3 + CH2O => C3H5O,6.93E-01,1.00E-09,1.00E-09
C3H5O + O2 => C2H3CHO + HO2,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + HO2 => C3H5O + O2,6.93E-01,1.00E-09,1.00E-09
C2H3OOH => CH2CHO + OH,6.93E-01,1.00E-09,1.00E-09
CH2CHO + OH => C2H3OOH,6.93E-01,1.00E-09,1.00E-09
C3H6O1-2 => C2H4 + CH2O,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH2O => C3H6O1-2,6.93E-01,1.00E-09,1.00E-09
C3H6O1-2 + OH => C2H3 + CH2O + H2O,6.93E-01,1.00E-09,1.00E-09
C3H6O1-2 + H => C2H3 + CH2O + H2,6.93E-01,1.00E-09,1.00E-09
C3H6O1-2 + O => C2H3 + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C3H6O1-2 + HO2 => C2H3 + CH2O + H2O2,6.93E-01,1.00E-09,1.00E-09
C3H6O1-2 + CH3O2 => C2H3 + CH2O + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C3H6O1-2 + CH3 => C2H3 + CH2O + CH4,6.93E-01,1.00E-09,1.00E-09
C3H6O1-3 => C2H4 + CH2O,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH2O => C3H6O1-3,6.93E-01,1.00E-09,1.00E-09
C3H6O1-3 + OH => C2H3 + CH2O + H2O,6.93E-01,1.00E-09,1.00E-09
C3H6O1-3 + O => C2H3 + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C3H6O1-3 + H => C2H3 + CH2O + H2,6.93E-01,1.00E-09,1.00E-09
C3H6O1-3 + CH3O2 => C2H3 + CH2O + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C3H6O1-3 + HO2 => C2H3 + CH2O + H2O2,6.93E-01,1.00E-09,1.00E-09
C3H6O1-3 + CH3 => C2H3 + CH2O + CH4,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 => C3H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H6 + HO2 => IC3H7O2,6.93E-01,1.00E-09,1.00E-09
NC3H7O2 => C3H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C3H6 + HO2 => NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C4H10 (+M) <=> 2 C2H5 (+M),6.93E-01,1.00E-09,1.00E-09
C4H10 (+M) <=> CH3 + NC3H7 (+M),6.93E-01,1.00E-09,1.00E-09
C4H10 => H + PC4H9,6.93E-01,1.00E-09,1.00E-09
H + PC4H9 => C4H10,6.93E-01,1.00E-09,1.00E-09
C4H10 => H + SC4H9,6.93E-01,1.00E-09,1.00E-09
H + SC4H9 => C4H10,6.93E-01,1.00E-09,1.00E-09
C4H10 + O2 => HO2 + PC4H9,6.93E-01,1.00E-09,1.00E-09
HO2 + PC4H9 => C4H10 + O2,6.93E-01,1.00E-09,1.00E-09
C4H10 + O2 => HO2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
HO2 + SC4H9 => C4H10 + O2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + C4H10 => C3H6 + PC4H9,6.93E-01,1.00E-09,1.00E-09
C3H6 + PC4H9 => C3H5-A + C4H10,6.93E-01,1.00E-09,1.00E-09
C3H5-A + C4H10 => C3H6 + SC4H9,6.93E-01,1.00E-09,1.00E-09
C3H6 + SC4H9 => C3H5-A + C4H10,6.93E-01,1.00E-09,1.00E-09
C2H5 + C4H10 => C2H6 + PC4H9,6.93E-01,1.00E-09,1.00E-09
C2H6 + PC4H9 => C2H5 + C4H10,6.93E-01,1.00E-09,1.00E-09
C2H5 + C4H10 => C2H6 + SC4H9,6.93E-01,1.00E-09,1.00E-09
C2H6 + SC4H9 => C2H5 + C4H10,6.93E-01,1.00E-09,1.00E-09
C2H3 + C4H10 => C2H4 + PC4H9,6.93E-01,1.00E-09,1.00E-09
C2H4 + PC4H9 => C2H3 + C4H10,6.93E-01,1.00E-09,1.00E-09
C2H3 + C4H10 => C2H4 + SC4H9,6.93E-01,1.00E-09,1.00E-09
C2H4 + SC4H9 => C2H3 + C4H10,6.93E-01,1.00E-09,1.00E-09
C4H10 + CH3 => CH4 + PC4H9,6.93E-01,1.00E-09,1.00E-09
CH4 + PC4H9 => C4H10 + CH3,6.93E-01,1.00E-09,1.00E-09
C4H10 + CH3 => CH4 + SC4H9,6.93E-01,1.00E-09,1.00E-09
CH4 + SC4H9 => C4H10 + CH3,6.93E-01,1.00E-09,1.00E-09
C4H10 + H => H2 + PC4H9,6.93E-01,1.00E-09,1.00E-09
H2 + PC4H9 => C4H10 + H,6.93E-01,1.00E-09,1.00E-09
C4H10 + H => H2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
H2 + SC4H9 => C4H10 + H,6.93E-01,1.00E-09,1.00E-09
C4H10 + OH => H2O + PC4H9,6.93E-01,1.00E-09,1.00E-09
H2O + PC4H9 => C4H10 + OH,6.93E-01,1.00E-09,1.00E-09
C4H10 + OH => H2O + SC4H9,6.93E-01,1.00E-09,1.00E-09
H2O + SC4H9 => C4H10 + OH,6.93E-01,1.00E-09,1.00E-09
C4H10 + O => OH + PC4H9,6.93E-01,1.00E-09,1.00E-09
OH + PC4H9 => C4H10 + O,6.93E-01,1.00E-09,1.00E-09
C4H10 + O => OH + SC4H9,6.93E-01,1.00E-09,1.00E-09
OH + SC4H9 => C4H10 + O,6.93E-01,1.00E-09,1.00E-09
C4H10 + HO2 => H2O2 + PC4H9,6.93E-01,1.00E-09,1.00E-09
H2O2 + PC4H9 => C4H10 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H10 + HO2 => H2O2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
H2O2 + SC4H9 => C4H10 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H10 + CH3O => CH3OH + PC4H9,6.93E-01,1.00E-09,1.00E-09
CH3OH + PC4H9 => C4H10 + CH3O,6.93E-01,1.00E-09,1.00E-09
C4H10 + CH3O => CH3OH + SC4H9,6.93E-01,1.00E-09,1.00E-09
CH3OH + SC4H9 => C4H10 + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H5O + C4H10 => C2H5OH + PC4H9,6.93E-01,1.00E-09,1.00E-09
C2H5OH + PC4H9 => C2H5O + C4H10,6.93E-01,1.00E-09,1.00E-09
C2H5O + C4H10 => C2H5OH + SC4H9,6.93E-01,1.00E-09,1.00E-09
C2H5OH + SC4H9 => C2H5O + C4H10,6.93E-01,1.00E-09,1.00E-09
C4H10 + PC4H9 => C4H10 + SC4H9,6.93E-01,1.00E-09,1.00E-09
C4H10 + SC4H9 => C4H10 + PC4H9,6.93E-01,1.00E-09,1.00E-09
C4H10 + CH3CO3 => CH3CO3H + PC4H9,6.93E-01,1.00E-09,1.00E-09
CH3CO3H + PC4H9 => C4H10 + CH3CO3,6.93E-01,1.00E-09,1.00E-09
C4H10 + CH3CO3 => CH3CO3H + SC4H9,6.93E-01,1.00E-09,1.00E-09
CH3CO3H + SC4H9 => C4H10 + CH3CO3,6.93E-01,1.00E-09,1.00E-09
C4H10 + O2CHO => HO2CHO + PC4H9,6.93E-01,1.00E-09,1.00E-09
HO2CHO + PC4H9 => C4H10 + O2CHO,6.93E-01,1.00E-09,1.00E-09
C4H10 + O2CHO => HO2CHO + SC4H9,6.93E-01,1.00E-09,1.00E-09
HO2CHO + SC4H9 => C4H10 + O2CHO,6.93E-01,1.00E-09,1.00E-09
C4H10 + CH3O2 => CH3O2H + PC4H9,6.93E-01,1.00E-09,1.00E-09
CH3O2H + PC4H9 => C4H10 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C4H10 + CH3O2 => CH3O2H + SC4H9,6.93E-01,1.00E-09,1.00E-09
CH3O2H + SC4H9 => C4H10 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + C4H10 => C2H5O2H + PC4H9,6.93E-01,1.00E-09,1.00E-09
C2H5O2H + PC4H9 => C2H5O2 + C4H10,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + C4H10 => C2H5O2H + SC4H9,6.93E-01,1.00E-09,1.00E-09
C2H5O2H + SC4H9 => C2H5O2 + C4H10,6.93E-01,1.00E-09,1.00E-09
C4H10 + NC3H7O2 => NC3H7O2H + PC4H9,6.93E-01,1.00E-09,1.00E-09
NC3H7O2H + PC4H9 => C4H10 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C4H10 + NC3H7O2 => NC3H7O2H + SC4H9,6.93E-01,1.00E-09,1.00E-09
NC3H7O2H + SC4H9 => C4H10 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C4H10 + IC3H7O2 => IC3H7O2H + PC4H9,6.93E-01,1.00E-09,1.00E-09
IC3H7O2H + PC4H9 => C4H10 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C4H10 + IC3H7O2 => IC3H7O2H + SC4H9,6.93E-01,1.00E-09,1.00E-09
IC3H7O2H + SC4H9 => C4H10 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + PC4H9O2 => NC3H7 + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
NC3H7 + PC4H9O2H => C3H8 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + PC4H9O2 => IC3H7 + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
IC3H7 + PC4H9O2H => C3H8 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C4H10 + PC4H9O2 => PC4H9 + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
PC4H9 + PC4H9O2H => C4H10 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
