Time,CO_ppm,Relative_Uncertainty,W
0.00014280000000000003,24,0.05,0.020336296
0.00014319999999999998,35,0.05,0.020336296
0.0001436,34,0.05,0.020336296
0.000144,24,0.05,0.020336296
0.00014439999999999999,35,0.05,0.020336296
0.00014480000000000002,31,0.05,0.020336296
0.0001452,27,0.05,0.020336296
0.0001456,37,0.05,0.020336296
0.000146,31,0.05,0.020336296
0.0001464,34,0.05,0.020336296
0.00014680000000000002,37,0.05,0.020336296
0.0001472,32,0.05,0.020336296
0.0001476,34,0.05,0.020336296
0.000148,40,0.05,0.020336296
0.0001484,31,0.05,0.020336296
0.0001488,37,0.05,0.020336296
0.0001492,31,0.05,0.020336296
0.0001496,27,0.05,0.020336296
0.00015,32,0.05,0.020336296
0.0001504,34,0.05,0.020336296
0.0001508,32,0.05,0.020336296
0.0001512,37,0.05,0.020336296
0.0001516,31,0.05,0.020336296
0.000152,32,0.05,0.020336296
0.0001524,34,0.05,0.020336296
0.0001528,32,0.05,0.020336296
0.00015319999999999998,35,0.05,0.020336296
0.0001536,37,0.05,0.020336296
0.000154,35,0.05,0.020336296
0.0001544,31,0.05,0.020336296
0.0001548,32,0.05,0.020336296
0.00015519999999999998,31,0.05,0.020336296
0.00015560000000000001,37,0.05,0.020336296
0.000156,34,0.05,0.020336296
0.0001564,35,0.05,0.020336296
0.00015680000000000002,37,0.05,0.020336296
0.00015719999999999997,32,0.05,0.020336296
0.00015759999999999998,29,0.05,0.020336296
0.00015800000000000002,35,0.05,0.020336296
0.0001584,40,0.05,0.020336296
0.0001588,31,0.05,0.020336296
0.0001592,29,0.05,0.020336296
0.00015959999999999998,34,0.05,0.020336296
0.00016,32,0.05,0.020336296
0.0001604,27,0.05,0.020336296
0.0001608,32,0.05,0.020336296
0.0001612,31,0.05,0.020336296
0.0001616,27,0.05,0.020336296
0.000162,35,0.05,0.020336296
0.00016240000000000002,32,0.05,0.020336296
0.0001628,31,0.05,0.020336296
0.00016319999999999998,35,0.05,0.020336296
0.0001636,32,0.05,0.020336296
0.000164,34,0.05,0.020336296
0.0001644,37,0.05,0.020336296
0.00016480000000000002,32,0.05,0.020336296
0.0001652,39,0.05,0.020336296
0.0001656,35,0.05,0.020336296
0.000166,37,0.05,0.020336296
0.0001664,35,0.05,0.020336296
0.00016680000000000002,44,0.05,0.020336296
0.0001672,39,0.05,0.020336296
0.00016759999999999998,40,0.05,0.020336296
0.000168,37,0.05,0.020336296
0.00016840000000000003,39,0.05,0.020336296
0.0001688,40,0.05,0.020336296
0.0001692,40,0.05,0.020336296
0.0001696,40,0.05,0.020336296
0.00016999999999999999,39,0.05,0.020336296
0.0001704,34,0.05,0.020336296
0.00017080000000000003,42,0.05,0.020336296
0.0001712,34,0.05,0.020336296
0.0001716,45,0.05,0.020336296
0.000172,44,0.05,0.020336296
0.0001724,47,0.05,0.020336296
0.00017280000000000003,42,0.05,0.020336296
0.0001732,40,0.05,0.020336296
0.0001736,44,0.05,0.020336296
0.000174,44,0.05,0.020336296
0.0001744,40,0.05,0.020336296
0.00017480000000000002,40,0.05,0.020336296
0.00017519999999999998,37,0.05,0.020336296
0.0001756,34,0.05,0.020336296
0.000176,44,0.05,0.020336296
0.0001764,45,0.05,0.020336296
0.00017680000000000001,47,0.05,0.020336296
0.00017719999999999997,52,0.05,0.020336296
0.0001776,42,0.05,0.020336296
0.000178,42,0.05,0.020336296
0.0001784,47,0.05,0.020336296
0.0001788,45,0.05,0.020336296
0.0001792,45,0.05,0.020336296
0.0001796,47,0.05,0.020336296
0.00018,42,0.05,0.020336296
0.0001804,37,0.05,0.020336296
0.0001808,44,0.05,0.020336296
0.00018119999999999999,40,0.05,0.020336296
0.0001816,39,0.05,0.020336296
0.000182,49,0.05,0.020336296
0.00018240000000000002,45,0.05,0.020336296
0.0001828,49,0.05,0.020336296
0.00018319999999999998,50,0.05,0.020336296
0.0001836,47,0.05,0.020336296
0.000184,54,0.05,0.020336296
0.0001844,54,0.05,0.020336296
0.00018480000000000002,45,0.05,0.020336296
0.00018519999999999998,47,0.05,0.020336296
0.00018559999999999998,44,0.05,0.020336296
0.00018600000000000002,52,0.05,0.020336296
0.0001864,50,0.05,0.020336296
0.00018680000000000001,47,0.05,0.020336296
0.0001872,50,0.05,0.020336296
