Temp,k_original,,Temp_optimized,k_optimized,,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp
418,4.60391E+13,,418,4.72631E+13,,,,,,,,,,,,,,
419,4.60549E+13,,419,4.73025E+13,,,,,,,,,,,,,,
420,4.60707E+13,,420,4.73417E+13,,,,,,,,,,,,,,
421,4.60865E+13,,421,4.73809E+13,,,,,,,,,,,,,,
422,4.61023E+13,,422,4.742E+13,,,,,,,,,,,,,,
423,4.6118E+13,,423,4.7459E+13,,,,,,,,,,,,,,
424,4.61338E+13,,424,4.7498E+13,,,,,,,,,,,,,,
425,4.61496E+13,,425,4.75369E+13,,,,,,,,,,,,,,
426,4.61655E+13,,426,4.75757E+13,,,,,,,,,,,,,,
427,4.61813E+13,,427,4.76144E+13,,,,,,,,,,,,,,
428,4.61971E+13,,428,4.76531E+13,,,,,,,,,,,,,,
429,4.62129E+13,,429,4.76917E+13,,,,,,,,,,,,,,
430,4.62288E+13,,430,4.77302E+13,,,,,,,,,,,,,,
431,4.62446E+13,,431,4.77687E+13,,,,,,,,,,,,,,
432,4.62604E+13,,432,4.7807E+13,,,,,,,,,,,,,,
433,4.62763E+13,,433,4.78453E+13,,,,,,,,,,,,,,
434,4.62921E+13,,434,4.78836E+13,,,,,,,,,,,,,,
435,4.6308E+13,,435,4.79217E+13,,,,,,,,,,,,,,
436,4.63239E+13,,436,4.79598E+13,,,,,,,,,,,,,,
437,4.63397E+13,,437,4.79979E+13,,,,,,,,,,,,,,
438,4.63556E+13,,438,4.80358E+13,,,,,,,,,,,,,,
439,4.63715E+13,,439,4.80737E+13,,,,,,,,,,,,,,
440,4.63874E+13,,440,4.81115E+13,,,,,,,,,,,,,,
441,4.64032E+13,,441,4.81492E+13,,,,,,,,,,,,,,
442,4.64191E+13,,442,4.81869E+13,,,,,,,,,,,,,,
443,4.6435E+13,,443,4.82245E+13,,,,,,,,,,,,,,
444,4.64509E+13,,444,4.82621E+13,,,,,,,,,,,,,,
445,4.64668E+13,,445,4.82995E+13,,,,,,,,,,,,,,
446,4.64827E+13,,446,4.83369E+13,,,,,,,,,,,,,,
447,4.64986E+13,,447,4.83743E+13,,,,,,,,,,,,,,
448,4.65145E+13,,448,4.84115E+13,,,,,,,,,,,,,,
449,4.65304E+13,,449,4.84487E+13,,,,,,,,,,,,,,
450,4.65463E+13,,450,4.84859E+13,,,,,,,,,,,,,,
451,4.65622E+13,,451,4.85229E+13,,,,,,,,,,,,,,
452,4.65781E+13,,452,4.85599E+13,,,,,,,,,,,,,,
453,4.65941E+13,,453,4.85969E+13,,,,,,,,,,,,,,
454,4.661E+13,,454,4.86338E+13,,,,,,,,,,,,,,
455,4.66259E+13,,455,4.86706E+13,,,,,,,,,,,,,,
456,4.66418E+13,,456,4.87073E+13,,,,,,,,,,,,,,
457,4.66577E+13,,457,4.8744E+13,,,,,,,,,,,,,,
458,4.66737E+13,,458,4.87806E+13,,,,,,,,,,,,,,
459,4.66896E+13,,459,4.88171E+13,,,,,,,,,,,,,,
460,4.67055E+13,,460,4.88536E+13,,,,,,,,,,,,,,
461,4.67214E+13,,461,4.889E+13,,,,,,,,,,,,,,
462,4.67374E+13,,462,4.89264E+13,,,,,,,,,,,,,,
463,4.67533E+13,,463,4.89627E+13,,,,,,,,,,,,,,
464,4.67692E+13,,464,4.89989E+13,,,,,,,,,,,,,,
465,4.67851E+13,,465,4.90351E+13,,,,,,,,,,,,,,
466,4.68011E+13,,466,4.90712E+13,,,,,,,,,,,,,,
467,4.6817E+13,,467,4.91073E+13,,,,,,,,,,,,,,
468,4.68329E+13,,468,4.91432E+13,,,,,,,,,,,,,,
469,4.68489E+13,,469,4.91792E+13,,,,,,,,,,,,,,
470,4.68648E+13,,470,4.9215E+13,,,,,,,,,,,,,,
471,4.68807E+13,,471,4.92508E+13,,,,,,,,,,,,,,
472,4.68967E+13,,472,4.92866E+13,,,,,,,,,,,,,,
473,4.69126E+13,,473,4.93223E+13,,,,,,,,,,,,,,
474,4.69285E+13,,474,4.93579E+13,,,,,,,,,,,,,,
475,4.69444E+13,,475,4.93934E+13,,,,,,,,,,,,,,
476,4.69604E+13,,476,4.94289E+13,,,,,,,,,,,,,,
